Name,Latitud,Longitud,Tipos
Qfresh.co,40.447639,-3.7005339,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Supercor Exprés,40.44425679999999,-3.7002728,"['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
Alimentación WANG,40.4377165,-3.7130998,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Kosher Sefarad Shop and Catering Madrid,40.4359376,-3.7004122,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Mi Alcampo,40.4353194,-3.7041376,"['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
ALIMENTACIÓN SANTA CECILIA,40.436399,-3.711428,"['convenience_store', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Cielo Al Reves,40.43583599999999,-3.709995999999999,"['convenience_store', 'grocery_or_supermarket', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
ALIMENTACIÓN SANTA CECILIA,40.436399,-3.711428,"['convenience_store', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
La Escabechina,40.4365832,-3.7131762,"['convenience_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Croqueta y Presumida,40.43649140000001,-3.7131792,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Alimentación WANG,40.4377165,-3.7130998,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Bodegon El Pequeño Gourmet,40.436524,-3.714054999999999,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
nutnut,40.4346359,-3.7041334,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Cardaser Gourmet,40.43461750000001,-3.7045407,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Empanadas De Gloria,40.4341552,-3.7085361,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Frutas Santamaría,40.4339113,-3.7065153,"['convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
Eggo -Huevos Ecológicos-,40.43411940000001,-3.7081906,"['convenience_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Picón Madrid,40.4341012,-3.7082834,"['convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
"""Picón"," Productos Canarios""",40.4340524,"['3', '7083671', 'convenience_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Caracol De Cadalso,40.4341552,-3.7085361,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Pescados y Mariscos Antonio Pérez,40.4312117,-3.7178946,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']"
Farmacia Fanconi López,40.44863749999999,-3.704581100000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Paz García Monescillo Pharmacy,40.447218,-3.7067709,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Pharmacist,40.446979,-3.7090836,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Gómez Rivera,40.44684,-3.711335,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Baztán Moreno,40.447537,-3.7116888,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.4466954,-3.711956299999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Baztán Moreno,40.447537,-3.7116888,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
"""FARMACIA OPTICA ORTOPEDIA GA - CHAMBERÍ"," MADRID""",40.44484739999999,"['3', '7032331', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Berrocal Valencia Cristina,40.4433765,-3.700690599999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Victoria Martin Jaureguibeitia,40.44190359999999,-3.7025201,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Carmen Ramírez Cánovas,40.4430799,-3.7042844,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
José María García Escribano Fernández Mazaramb,40.4422937,-3.703792099999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Dra. Beatriz Collado,40.443491,-3.713968800000001,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Concepción Ruiz Martínez,40.4428534,-3.7126532,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia M Paloma Reche Sainz,40.4416194,-3.7155473,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Victoria Martin Jaureguibeitia,40.44190359999999,-3.7025201,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
José María García Escribano Fernández Mazaramb,40.4422937,-3.703792099999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Barreneche Huici,40.44065499999999,-3.7062752,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
María Y Noelia González Andrés C B,40.4405141,-3.7062959,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
María Cuevas Galgo,40.4414275,-3.7122365,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Lérida García,40.4411816,-3.7143052,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Barrios de Tiedra,40.4416194,-3.7155473,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Angeles Rivas,40.4400123,-3.7168288,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Nubé,40.4409479,-3.717926099999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
FARMACIA CANAL,40.43773669999999,-3.702507599999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Santisima Trinidad pharmacy,40.437425,-3.7009976,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Higia,40.4377454,-3.704041399999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Medina Puerta María del Mar,40.43890710000001,-3.706141599999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Bellver Valls,40.4387055,-3.708955699999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Angona Fraile María Jesús,40.43989910000001,-3.7075116,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Bellver Valls,40.4387055,-3.708955699999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Julia Sánchez Escribano,40.4392974,-3.7116274,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Sánchez Pérez,40.4392627,-3.7145138,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Jorge García,40.43853229999999,-3.716546899999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia,40.4381705,-3.717606,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Isaac Peral,40.4380262,-3.7176596,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Farmacia Jorge García,40.43853229999999,-3.716546899999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
