act1,act2,act3,act_output,opt,min_loss
relu,relu,relu,relu,RMSprop,345911616.0
relu,relu,relu,relu,adam,343830272.0
relu,relu,relu,relu,SGD,1159363473440768.0
relu,relu,relu,relu,Adadelta,343830272.0
relu,relu,relu,tanh,RMSprop,343801024.0
relu,relu,relu,tanh,adam,343794496.0
relu,relu,relu,tanh,SGD,343794464.0
relu,relu,relu,tanh,Adadelta,343866112.0
relu,relu,relu,softmax,RMSprop,343794464.0
relu,relu,relu,softmax,adam,343794464.0
relu,relu,relu,softmax,SGD,343794464.0
relu,relu,relu,softmax,Adadelta,343794464.0
relu,relu,relu,linear,RMSprop,3323459584.0
relu,relu,relu,linear,adam,4910490624.0
relu,relu,relu,linear,SGD,inf
relu,relu,relu,linear,Adadelta,162024252243968.0
relu,relu,relu,sigmoid,RMSprop,343794496.0
relu,relu,relu,sigmoid,adam,343794464.0
relu,relu,relu,sigmoid,SGD,343794496.0
relu,relu,relu,sigmoid,Adadelta,343794496.0
relu,relu,linear,relu,RMSprop,343830272.0
relu,relu,linear,relu,adam,343830272.0
relu,relu,linear,relu,SGD,343830272.0
relu,relu,linear,relu,Adadelta,343830304.0
relu,relu,linear,tanh,RMSprop,343866112.0
relu,relu,linear,tanh,adam,343794496.0
relu,relu,linear,tanh,SGD,343866112.0
relu,relu,linear,tanh,Adadelta,343866112.0
relu,relu,linear,softmax,RMSprop,343794464.0
relu,relu,linear,softmax,adam,343794464.0
relu,relu,linear,softmax,SGD,343794432.0
relu,relu,linear,softmax,Adadelta,343794496.0
relu,relu,linear,linear,RMSprop,1230200373248.0
relu,relu,linear,linear,adam,13141718016.0
relu,relu,linear,linear,SGD,
relu,relu,linear,linear,Adadelta,256850587025408.0
relu,relu,linear,sigmoid,RMSprop,343830272.0
relu,relu,linear,sigmoid,adam,343830272.0
relu,relu,linear,sigmoid,SGD,343794464.0
relu,relu,linear,sigmoid,Adadelta,343794496.0
relu,relu,sigmoid,relu,RMSprop,343830272.0
relu,relu,sigmoid,relu,adam,343830272.0
relu,relu,sigmoid,relu,SGD,343830304.0
relu,relu,sigmoid,relu,Adadelta,343830272.0
relu,relu,sigmoid,tanh,RMSprop,343794528.0
relu,relu,sigmoid,tanh,adam,343795008.0
relu,relu,sigmoid,tanh,SGD,343794496.0
relu,relu,sigmoid,tanh,Adadelta,343799392.0
relu,relu,sigmoid,softmax,RMSprop,343794464.0
relu,relu,sigmoid,softmax,adam,343794464.0
relu,relu,sigmoid,softmax,SGD,343794496.0
relu,relu,sigmoid,softmax,Adadelta,343794496.0
relu,relu,sigmoid,linear,RMSprop,343593152.0
relu,relu,sigmoid,linear,adam,343507776.0
relu,relu,sigmoid,linear,SGD,22979298.0
relu,relu,sigmoid,linear,Adadelta,343859008.0
relu,relu,sigmoid,sigmoid,RMSprop,343794624.0
relu,relu,sigmoid,sigmoid,adam,343794848.0
relu,relu,sigmoid,sigmoid,SGD,343794464.0
relu,relu,sigmoid,sigmoid,Adadelta,343805888.0
relu,linear,relu,relu,RMSprop,343830272.0
relu,linear,relu,relu,adam,343830272.0
relu,linear,relu,relu,SGD,
relu,linear,relu,relu,Adadelta,343830272.0
relu,linear,relu,tanh,RMSprop,343866112.0
relu,linear,relu,tanh,adam,343794496.0
relu,linear,relu,tanh,SGD,343794464.0
relu,linear,relu,tanh,Adadelta,343794496.0
relu,linear,relu,softmax,RMSprop,343794496.0
relu,linear,relu,softmax,adam,343794464.0
relu,linear,relu,softmax,SGD,343794496.0
relu,linear,relu,softmax,Adadelta,343794464.0
relu,linear,relu,linear,RMSprop,27488407552.0
relu,linear,relu,linear,adam,66407411712.0
relu,linear,relu,linear,SGD,
relu,linear,relu,linear,Adadelta,181239919149056.0
relu,linear,relu,sigmoid,RMSprop,343794464.0
relu,linear,relu,sigmoid,adam,343794464.0
relu,linear,relu,sigmoid,SGD,343830272.0
relu,linear,relu,sigmoid,Adadelta,343794464.0
relu,linear,linear,relu,RMSprop,343830272.0
relu,linear,linear,relu,adam,343830272.0
relu,linear,linear,relu,SGD,
relu,linear,linear,relu,Adadelta,1211479009263616.0
relu,linear,linear,tanh,RMSprop,343794496.0
relu,linear,linear,tanh,adam,343794464.0
relu,linear,linear,tanh,SGD,343866112.0
relu,linear,linear,tanh,Adadelta,343794464.0
relu,linear,linear,softmax,RMSprop,343794496.0
relu,linear,linear,softmax,adam,343794464.0
relu,linear,linear,softmax,SGD,343794464.0
relu,linear,linear,softmax,Adadelta,343794496.0
relu,linear,linear,linear,RMSprop,140347277312.0
relu,linear,linear,linear,adam,19397921996800.0
relu,linear,linear,linear,SGD,
relu,linear,linear,linear,Adadelta,154443601412096.0
relu,linear,linear,sigmoid,RMSprop,343794464.0
relu,linear,linear,sigmoid,adam,343830272.0
relu,linear,linear,sigmoid,SGD,343830272.0
relu,linear,linear,sigmoid,Adadelta,343830272.0
relu,linear,sigmoid,relu,RMSprop,343545472.0
relu,linear,sigmoid,relu,adam,343830272.0
relu,linear,sigmoid,relu,SGD,343830272.0
relu,linear,sigmoid,relu,Adadelta,343830272.0
relu,linear,sigmoid,tanh,RMSprop,343794528.0
relu,linear,sigmoid,tanh,adam,343794752.0
relu,linear,sigmoid,tanh,SGD,343794496.0
relu,linear,sigmoid,tanh,Adadelta,343805632.0
relu,linear,sigmoid,softmax,RMSprop,343794464.0
relu,linear,sigmoid,softmax,adam,343794496.0
relu,linear,sigmoid,softmax,SGD,343794496.0
relu,linear,sigmoid,softmax,Adadelta,343794432.0
relu,linear,sigmoid,linear,RMSprop,343588416.0
relu,linear,sigmoid,linear,adam,343633088.0
relu,linear,sigmoid,linear,SGD,22972730.0
relu,linear,sigmoid,linear,Adadelta,343840128.0
relu,linear,sigmoid,sigmoid,RMSprop,343794624.0
relu,linear,sigmoid,sigmoid,adam,343795520.0
relu,linear,sigmoid,sigmoid,SGD,343794464.0
relu,linear,sigmoid,sigmoid,Adadelta,343809984.0
relu,sigmoid,relu,relu,RMSprop,343830272.0
relu,sigmoid,relu,relu,adam,343830272.0
relu,sigmoid,relu,relu,SGD,343830272.0
relu,sigmoid,relu,relu,Adadelta,343820704.0
relu,sigmoid,relu,tanh,RMSprop,343794464.0
relu,sigmoid,relu,tanh,adam,343794784.0
relu,sigmoid,relu,tanh,SGD,343794464.0
relu,sigmoid,relu,tanh,Adadelta,343822048.0
relu,sigmoid,relu,softmax,RMSprop,343794496.0
relu,sigmoid,relu,softmax,adam,343794464.0
relu,sigmoid,relu,softmax,SGD,343794464.0
relu,sigmoid,relu,softmax,Adadelta,343794464.0
relu,sigmoid,relu,linear,RMSprop,343219392.0
relu,sigmoid,relu,linear,adam,342378496.0
relu,sigmoid,relu,linear,SGD,25568132.0
relu,sigmoid,relu,linear,Adadelta,343804608.0
relu,sigmoid,relu,sigmoid,RMSprop,343794496.0
relu,sigmoid,relu,sigmoid,adam,343794688.0
relu,sigmoid,relu,sigmoid,SGD,343794464.0
relu,sigmoid,relu,sigmoid,Adadelta,343818304.0
relu,sigmoid,linear,relu,RMSprop,340668800.0
relu,sigmoid,linear,relu,adam,343830272.0
relu,sigmoid,linear,relu,SGD,1307284602880.0
relu,sigmoid,linear,relu,Adadelta,343790464.0
relu,sigmoid,linear,tanh,RMSprop,343794464.0
relu,sigmoid,linear,tanh,adam,343794528.0
relu,sigmoid,linear,tanh,SGD,343841952.0
relu,sigmoid,linear,tanh,Adadelta,343837568.0
relu,sigmoid,linear,softmax,RMSprop,343794464.0
relu,sigmoid,linear,softmax,adam,343794496.0
relu,sigmoid,linear,softmax,SGD,343794496.0
relu,sigmoid,linear,softmax,Adadelta,343794464.0
relu,sigmoid,linear,linear,RMSprop,340574016.0
relu,sigmoid,linear,linear,adam,340007936.0
relu,sigmoid,linear,linear,SGD,31829848064.0
relu,sigmoid,linear,linear,Adadelta,343791872.0
relu,sigmoid,linear,sigmoid,RMSprop,343794464.0
relu,sigmoid,linear,sigmoid,adam,343794592.0
relu,sigmoid,linear,sigmoid,SGD,343823904.0
relu,sigmoid,linear,sigmoid,Adadelta,343820480.0
relu,sigmoid,sigmoid,relu,RMSprop,343830272.0
relu,sigmoid,sigmoid,relu,adam,343830272.0
relu,sigmoid,sigmoid,relu,SGD,23038548.0
relu,sigmoid,sigmoid,relu,Adadelta,343830272.0
relu,sigmoid,sigmoid,tanh,RMSprop,343794464.0
relu,sigmoid,sigmoid,tanh,adam,343794752.0
relu,sigmoid,sigmoid,tanh,SGD,343794496.0
relu,sigmoid,sigmoid,tanh,Adadelta,343831744.0
relu,sigmoid,sigmoid,softmax,RMSprop,343794496.0
relu,sigmoid,sigmoid,softmax,adam,343794464.0
relu,sigmoid,sigmoid,softmax,SGD,343794464.0
relu,sigmoid,sigmoid,softmax,Adadelta,343794464.0
relu,sigmoid,sigmoid,linear,RMSprop,343421760.0
relu,sigmoid,sigmoid,linear,adam,343450016.0
relu,sigmoid,sigmoid,linear,SGD,23003548.0
relu,sigmoid,sigmoid,linear,Adadelta,343849184.0
relu,sigmoid,sigmoid,sigmoid,RMSprop,343794528.0
relu,sigmoid,sigmoid,sigmoid,adam,343794752.0
relu,sigmoid,sigmoid,sigmoid,SGD,343794464.0
relu,sigmoid,sigmoid,sigmoid,Adadelta,343802048.0
linear,relu,relu,relu,RMSprop,343830272.0
linear,relu,relu,relu,adam,343830272.0
linear,relu,relu,relu,SGD,6020194107392.0
linear,relu,relu,relu,Adadelta,343830272.0
linear,relu,relu,tanh,RMSprop,343794464.0
linear,relu,relu,tanh,adam,343866112.0
linear,relu,relu,tanh,SGD,343866112.0
linear,relu,relu,tanh,Adadelta,343794496.0
linear,relu,relu,softmax,RMSprop,343794464.0
linear,relu,relu,softmax,adam,343794464.0
linear,relu,relu,softmax,SGD,343794464.0
linear,relu,relu,softmax,Adadelta,343794464.0
linear,relu,relu,linear,RMSprop,36499681280.0
linear,relu,relu,linear,adam,40017489920.0
linear,relu,relu,linear,SGD,inf
linear,relu,relu,linear,Adadelta,352795295744.0
linear,relu,relu,sigmoid,RMSprop,343830272.0
linear,relu,relu,sigmoid,adam,343794496.0
linear,relu,relu,sigmoid,SGD,343830272.0
linear,relu,relu,sigmoid,Adadelta,343794496.0
linear,relu,linear,relu,RMSprop,374379456.0
linear,relu,linear,relu,adam,343830272.0
linear,relu,linear,relu,SGD,
linear,relu,linear,relu,Adadelta,3364674426896384.0
linear,relu,linear,tanh,RMSprop,343794464.0
linear,relu,linear,tanh,adam,343866112.0
linear,relu,linear,tanh,SGD,343866112.0
linear,relu,linear,tanh,Adadelta,343794464.0
linear,relu,linear,softmax,RMSprop,343794464.0
linear,relu,linear,softmax,adam,343794496.0
linear,relu,linear,softmax,SGD,343794432.0
linear,relu,linear,softmax,Adadelta,343794496.0
linear,relu,linear,linear,RMSprop,394255400960.0
linear,relu,linear,linear,adam,328760229888.0
linear,relu,linear,linear,SGD,
linear,relu,linear,linear,Adadelta,236431507456.0
linear,relu,linear,sigmoid,RMSprop,343830272.0
linear,relu,linear,sigmoid,adam,343794464.0
