repos_number,followers,seniority,label
23,33,middle,1
43,125,principal,3
9,95,principal,3
24,16,middle,1
31,15,middle,1
10,76,middle,1
21,43,middle,1
28,249,principal,3
15,19,junior,0
92,47,senior,2
18,120,principal,3
43,20,middle,1
76,22,middle,1
15,284,architect,4
36,29,middle,1
53,16,middle,1
19,79,middle,1
69,21,middle,1
42,21,middle,1
51,60,middle,1
29,33,middle,1
7,16,junior,0
56,70,middle,1
28,27,middle,1
6,20,junior,0
60,23,middle,1
13,38,middle,1
31,27,middle,1
3,58,middle,1
39,26,middle,1
15,58,middle,1
38,17,middle,1
5,15,junior,0
59,14,middle,1
205,69,senior,2
19,16,junior,0
2,17,junior,0
49,14,middle,1
22,22,middle,1
38,14,middle,1
0,1,junior,0
25,11,middle,1
11,2,junior,0
2,0,junior,0
0,0,junior,0
3,0,junior,0
0,2,junior,0
22,0,junior,0
1,0,junior,0
10,0,junior,0
0,1,junior,0
0,0,junior,0
5,0,junior,0
28,3,middle,1
5,0,junior,0
28,11,middle,1
2,0,junior,0
9,1,junior,0
1,0,junior,0
0,0,junior,0
3,1,junior,0
2,1,junior,0
0,0,junior,0
11,5,junior,0
0,0,junior,0
7,0,junior,0
0,0,junior,0
5,0,junior,0
4,0,junior,0
2,0,junior,0
6,2,junior,0
1,2,junior,0
18,4,junior,0
0,0,junior,0
13,4,junior,0
6,1,junior,0
0,0,junior,0
2,0,junior,0
1,0,junior,0
17,5,junior,0
7,0,junior,0
1,0,junior,0
0,0,junior,0
5,0,junior,0
23,0,junior,0
6,0,junior,0
1,0,junior,0
2,2,junior,0
43,1,middle,1
2,0,junior,0
2,3,junior,0
8,0,junior,0
2,0,junior,0
0,0,junior,0
28,6,middle,1
14,0,junior,0
3,0,junior,0
2,4,junior,0
5,1,junior,0
3,0,junior,0
8,0,junior,0
8,0,junior,0
10,0,junior,0
1,0,junior,0
20,2,junior,0
0,3,junior,0
7,6,junior,0
21,5,junior,0
9,6,junior,0
6,0,junior,0
0,0,junior,0
28,0,junior,0
2,0,junior,0
31,0,middle,1
0,0,junior,0
2,0,junior,0
1,0,junior,0
0,0,junior,0
11,3,junior,0
1,0,junior,0
15,0,junior,0
0,0,junior,0
0,0,junior,0
3,3,junior,0
4,0,junior,0
1,1,junior,0
3,0,junior,0
11,6,junior,0
3,0,junior,0
12,11,junior,0
5,1,junior,0
5,0,junior,0
6,3,junior,0
0,0,junior,0
1,0,junior,0
85,0,senior,2
7,0,junior,0
10,0,junior,0
10,2,junior,0
9,0,junior,0
0,0,junior,0
32,0,middle,1
4,0,junior,0
6,8,junior,0
20,5,junior,0
114,12,senior,2
1,0,junior,0
57,0,middle,1
0,0,junior,0
13,0,junior,0
1,0,junior,0
115,2,senior,2
1,0,junior,0
1,1,junior,0
1,0,junior,0
0,1,junior,0
0,1,junior,0
4,3,junior,0
1,2,junior,0
1,0,junior,0
4,0,junior,0
0,0,junior,0
0,9,junior,0
0,0,junior,0
3,0,junior,0
19,2,junior,0
14,11,junior,0
4,1,junior,0
0,0,junior,0
1,0,junior,0
0,0,junior,0
6,0,junior,0
16,0,junior,0
1,0,junior,0
0,0,junior,0
0,2,junior,0
2,0,junior,0
0,0,junior,0
0,0,junior,0
0,0,junior,0
31,1,middle,1
4,0,junior,0
2,0,junior,0
15,11,junior,0
2,0,junior,0
7,1,junior,0
1,5,junior,0
0,0,junior,0
12,8,junior,0
9,0,junior,0
26,2,junior,0
7,2,junior,0
22,2,junior,0
0,0,junior,0
5,1,junior,0
4,0,junior,0
32,0,middle,1
5,1,junior,0
23,3,junior,0
3,0,junior,0
1,0,junior,0
1,0,junior,0
36,0,middle,1
0,0,junior,0
1,0,junior,0
6,0,junior,0
1,0,junior,0
0,0,junior,0
14,0,junior,0
1,0,junior,0
3,1,junior,0
4,9,junior,0
11,4,junior,0
22,0,junior,0
0,0,junior,0
7,0,junior,0
35,3,middle,1
22,10,junior,0
1,0,junior,0
4,1,junior,0
0,0,junior,0
1,0,junior,0
61,8,middle,1
1,0,junior,0
2,0,junior,0
6,0,junior,0
0,0,junior,0
11,2,junior,0
7,0,junior,0
14,0,junior,0
5,1,junior,0
1,6,junior,0
5,1,junior,0
3,0,junior,0
0,0,junior,0
2,0,junior,0
0,0,junior,0
1,0,junior,0
5,3,junior,0
2,0,junior,0
1,0,junior,0
19,9,junior,0
4,0,junior,0
4,1,junior,0
2,0,junior,0
1,0,junior,0
0,0,junior,0
11,12,junior,0
3,0,junior,0
2,0,junior,0
1,0,junior,0
29,12,middle,1
23,0,junior,0
2,0,junior,0
0,0,junior,0
13,11,junior,0
9,3,junior,0
0,0,junior,0
8,0,junior,0
44,5,middle,1
23,5,junior,0
0,0,junior,0
6,1,junior,0
